State,Year_Built,Square_Footage,CLUE_Loss_Count,Credit_Score,Construction_Type,Protection_Class,AOI,Deductible,Territory,Roof_Age_Applicant,Fire_Alarm,Burglar_Alarm,Roof_Vulnerability_Satellite,Wildfire_Exposure_Daily,Water_Loss_Recency_Months,RCV_Appraised,Fire_Hydrant_Distance,Tree_Canopy_Density,Crime_Severity_Index,Pluvial_Flood_Depth,Building_Code_Compliance,Slope_Steepness,Attic_Ventilation,Hail_Frequency,Soil_Liquefaction_Risk,Dwelling_Age,RCV_Overstatement,Credit_Score_Suppressed,Risk_Tier,Expected_Pure_Premium,Claim_Count,Claim_Amount
FL,1965,1256.0,0,616.0,Frame,1,239108.0,1000,Urban,26,False,False,28.17,0.23,120,261101.0,0.86,7.35,31.89,1.22,73,14.04,Poor,1,Moderate,61,0.0,False,Moderate,1055.21,0,0.0
MA,1958,1365.0,0,700.0,Frame,10,257120.0,2000,Suburban,30,False,True,31.15,5.16,120,217848.0,0.749,48.58,67.31,2.92,81,12.56,Adequate,0,Moderate,68,39272.0,True,Elevated,2264.9,0,0.0
LA,2002,3694.0,0,762.0,Masonry,1,1040455.0,1000,Rural,9,True,False,6.79,12.38,120,643560.0,0.24,16.83,53.84,1.87,56,16.83,Poor,0,Low,24,396895.0,False,Moderate,1973.23,0,0.0
TX,2023,2898.0,1,829.0,Frame,8,683353.0,2000,Suburban,1,False,False,21.05,3.76,9,455255.0,0.903,7.74,89.44,2.03,82,2.15,Poor,6,Low,3,228098.0,False,Elevated,3258.22,0,0.0
Other,1957,2390.0,0,673.0,Frame,1,513213.0,1000,Suburban,25,True,False,25.72,25.05,120,383807.0,0.76,21.61,16.39,5.62,38,10.15,Adequate,1,Low,69,129406.0,False,Moderate,1649.29,0,0.0
MA,2022,2259.0,0,700.0,Frame,5,329383.0,5000,Rural,3,True,False,9.53,3.99,120,389936.0,0.615,33.76,73.34,2.78,96,4.57,Excellent,0,Low,4,0.0,True,Low,803.39,0,0.0
GA,1981,2311.0,0,763.0,Frame,2,367409.0,1000,Rural,27,False,False,15.86,1.8,120,372763.0,0.263,5.14,32.88,9.72,83,6.46,Adequate,0,Low,45,0.0,False,Moderate,1020.23,0,0.0
FL,1991,2004.0,0,760.0,Frame,8,315223.0,1000,Urban,18,True,False,11.17,5.44,120,335283.0,1.516,38.84,61.17,5.91,73,4.16,Excellent,1,Low,35,0.0,False,Moderate,1633.9,0,0.0
WA,2011,2968.0,2,646.0,Frame,4,445541.0,5000,Suburban,15,False,False,7.46,0.63,19,435250.0,0.54,3.8,5.76,1.54,78,4.77,Adequate,1,Moderate,15,10291.0,False,Low,636.54,0,0.0
FL,1953,1498.0,0,698.0,Masonry,7,385280.0,2000,Urban,25,True,False,25.81,0.94,120,262786.0,1.28,17.62,36.67,0.89,36,6.09,Excellent,1,Low,73,122494.0,False,Elevated,2614.38,0,0.0
Other,1951,2014.0,0,850.0,Frame,9,470237.0,2000,Urban,29,True,True,30.06,3.95,120,342149.0,0.643,31.83,68.61,15.85,37,6.16,Adequate,2,Moderate,75,128088.0,False,Elevated,2820.39,0,0.0
CA,2015,3338.0,0,700.0,Frame,9,658275.0,1000,Rural,7,False,False,8.55,3.07,120,609719.0,1.736,7.96,71.23,2.61,78,0.49,Adequate,1,Low,11,48556.0,True,Elevated,2196.28,0,0.0
OK,2015,2460.0,0,678.0,Frame,1,373898.0,2000,Rural,16,True,False,26.73,3.24,120,436077.0,0.728,23.75,24.97,2.82,97,1.55,Adequate,4,Low,11,0.0,False,Low,912.61,0,0.0
CA,2002,2334.0,0,700.0,Frame,5,628837.0,500,Suburban,5,True,True,36.01,35.33,120,369317.0,1.021,32.16,45.71,5.69,60,4.21,Poor,0,Low,24,259520.0,True,Elevated,3322.83,0,0.0
LA,1991,2163.0,1,580.0,Masonry,6,487358.0,1000,Suburban,15,False,True,4.41,15.46,35,482354.0,0.772,12.97,28.46,3.15,82,8.81,Adequate,0,Low,35,5004.0,False,Moderate,1938.04,0,0.0
FL,2012,1558.0,0,692.0,Masonry,4,227447.0,500,Suburban,11,True,False,23.02,15.67,120,229973.0,0.903,56.63,45.78,0.46,89,4.27,Adequate,0,Low,14,0.0,False,Low,513.77,0,0.0
GA,1998,2402.0,0,734.0,Frame,10,636844.0,1000,Suburban,13,True,False,22.11,1.23,120,492511.0,0.623,25.12,69.98,20.55,85,3.26,Poor,3,Low,28,144333.0,False,Elevated,3489.8,0,0.0
GA,2015,2469.0,0,652.0,Frame,5,730767.0,2000,Suburban,16,False,False,23.42,22.74,120,473892.0,0.181,35.06,70.54,1.56,99,9.52,Adequate,1,Low,11,256875.0,False,Elevated,3461.88,0,0.0
FL,1962,1517.0,1,710.0,Masonry,2,364550.0,1000,Suburban,22,False,True,13.26,17.25,6,280597.0,0.228,25.86,36.3,1.66,53,19.07,Excellent,0,High,64,83953.0,False,Moderate,1383.3,0,0.0
WA,1990,2102.0,0,748.0,Frame,6,593806.0,2000,Urban,15,True,True,15.12,5.63,120,392061.0,1.169,19.47,52.91,7.96,79,4.76,Adequate,0,Low,36,201745.0,False,Moderate,1919.73,0,0.0
LA,1982,2891.0,1,593.0,Frame,9,631503.0,1000,Rural,10,True,True,27.7,1.01,7,475108.0,0.586,19.25,81.64,0.08,38,7.85,Adequate,0,Low,44,156395.0,False,High,3642.86,0,0.0
NY,2010,3084.0,1,831.0,Masonry,8,650564.0,1000,Suburban,5,False,False,18.55,3.01,19,533777.0,0.211,15.26,55.24,3.24,60,9.7,Excellent,1,Low,16,116787.0,False,Elevated,2386.39,0,0.0
FL,1988,1719.0,3,624.0,Masonry,1,363067.0,500,Suburban,21,False,False,13.94,3.27,11,279199.0,0.171,29.75,36.59,0.21,85,0.23,Poor,1,Low,38,83868.0,False,Moderate,1190.96,0,0.0
TX,1972,2477.0,0,803.0,Frame,10,634272.0,2000,Suburban,17,True,False,20.02,19.8,120,453898.0,1.801,49.55,58.04,16.07,50,22.12,Excellent,2,Low,54,180374.0,False,High,4356.52,0,0.0
CA,2014,1820.0,1,700.0,Frame,3,327212.0,2000,Suburban,6,False,True,14.97,11.37,20,367387.0,0.658,31.6,39.75,7.02,89,3.42,Adequate,2,Low,12,0.0,True,Low,558.78,0,0.0
CO,1973,1861.0,0,656.0,Frame,3,235362.0,1000,Suburban,22,True,True,20.78,14.19,120,281194.0,1.139,20.52,23.36,8.39,50,1.38,Adequate,2,High,53,0.0,False,Low,788.14,0,0.0
CO,1974,2343.0,0,698.0,Frame,1,404186.0,5000,Suburban,25,False,False,11.38,22.59,120,334602.0,0.199,42.28,23.62,2.94,61,1.62,Poor,3,Low,52,69584.0,False,Low,665.06,0,0.0
NY,2019,1459.0,0,756.0,Frame,5,217391.0,5000,Urban,3,False,False,28.36,3.4,120,186446.0,0.254,5.56,28.61,1.08,80,8.34,Poor,0,Moderate,7,30945.0,False,Low,442.44,0,0.0
Other,2012,3057.0,0,669.0,Frame,9,471463.0,2000,Suburban,26,True,False,23.36,1.01,120,405574.0,0.608,52.3,78.97,6.46,97,0.08,Adequate,0,Low,14,65889.0,False,Elevated,2309.53,0,0.0
CA,1960,2287.0,0,700.0,Frame,1,482009.0,1000,Suburban,28,True,False,28.75,71.85,120,347240.0,0.33,22.23,41.3,0.14,57,21.34,Poor,0,High,66,134769.0,True,Elevated,3104.41,1,33967.86
WA,1978,1111.0,0,748.0,Frame,5,159384.0,5000,Rural,20,False,False,28.66,10.62,120,206864.0,2.052,30.81,74.57,1.0,65,2.63,Adequate,1,Low,48,0.0,False,Low,329.24,0,0.0
WA,1969,1179.0,3,584.0,Masonry,5,250471.0,500,Rural,27,True,True,28.48,11.18,2,135065.0,0.519,21.45,41.94,9.94,75,1.12,Poor,0,Moderate,57,115406.0,False,Elevated,2408.56,0,0.0
MA,1959,2117.0,0,700.0,Frame,9,565958.0,500,Suburban,22,False,True,26.68,0.01,120,311456.0,1.684,64.98,77.14,1.61,39,0.03,Adequate,0,Low,67,254502.0,True,High,5077.49,0,0.0
CO,2023,2014.0,1,703.0,Masonry,10,532878.0,1000,Urban,2,False,False,13.16,7.31,14,408461.0,0.387,30.54,89.55,7.41,99,6.25,Adequate,2,Low,3,124417.0,False,Elevated,2089.51,0,0.0
TX,1965,1753.0,0,727.0,Frame,2,468062.0,2000,Suburban,27,True,False,5.96,4.05,120,373799.0,0.667,43.67,50.59,5.64,86,4.69,Excellent,3,Low,61,94263.0,False,Low,993.15,0,0.0
GA,1960,1824.0,1,829.0,Frame,8,333272.0,2000,Rural,26,True,True,14.03,13.53,1,313581.0,0.902,22.47,79.49,0.17,50,23.73,Adequate,1,Low,66,19691.0,False,Elevated,2201.35,0,0.0
MA,2014,2074.0,1,700.0,Frame,6,414295.0,1000,Suburban,20,True,False,20.59,0.05,24,416458.0,0.308,17.0,65.63,5.62,100,0.3,Adequate,0,Moderate,12,0.0,True,Low,845.15,0,0.0
WA,1962,2448.0,0,713.0,Frame,1,522544.0,500,Urban,28,False,True,24.19,43.48,120,333309.0,0.398,30.01,48.35,0.28,55,8.18,Adequate,0,Low,64,189235.0,False,Elevated,2072.56,0,0.0
TX,1978,1613.0,1,630.0,Frame,8,302111.0,5000,Suburban,17,False,True,10.66,21.71,31,326776.0,0.645,30.39,29.09,9.26,64,1.89,Adequate,3,Low,48,0.0,False,Moderate,1196.23,0,0.0
CO,1997,2668.0,0,690.0,Masonry,7,466381.0,5000,Suburban,10,True,True,24.65,20.44,120,352494.0,0.735,43.64,59.34,2.18,44,23.98,Adequate,3,Low,29,113887.0,False,Moderate,1005.35,0,0.0
NY,1971,2139.0,1,583.0,Frame,7,482458.0,1000,Urban,29,True,True,21.58,45.76,33,352382.0,1.223,41.95,49.88,0.05,86,20.93,Adequate,2,Low,55,130076.0,False,High,5465.16,0,0.0
OK,2007,2324.0,2,737.0,Frame,8,605122.0,5000,Suburban,26,False,True,2.71,0.12,12,372124.0,0.421,19.12,36.79,9.35,99,5.03,Poor,4,Low,19,232998.0,False,High,3900.49,0,0.0
MA,2004,2401.0,1,700.0,Frame,10,571392.0,1000,Urban,8,False,True,18.37,0.13,30,345759.0,0.719,13.03,48.92,4.14,65,6.74,Poor,1,Low,22,225633.0,True,Elevated,3445.33,0,0.0
TX,1951,2525.0,0,739.0,Frame,1,587054.0,1000,Suburban,29,False,False,27.69,0.23,120,564625.0,1.264,12.38,31.97,1.23,41,2.46,Adequate,2,Moderate,75,22429.0,False,Elevated,2332.3,0,0.0
TX,2017,1174.0,1,799.0,Masonry,1,221046.0,1000,Suburban,6,False,False,19.11,0.01,34,207930.0,0.248,14.51,5.1,1.74,93,4.11,Adequate,5,Moderate,9,13116.0,False,Low,444.63,0,0.0
CA,2016,1579.0,0,700.0,Frame,1,273866.0,1000,Rural,18,False,False,10.68,73.98,120,204946.0,0.237,81.28,41.82,2.24,99,4.07,Excellent,2,Low,10,68920.0,True,Low,974.42,0,0.0
TX,2019,2049.0,0,662.0,Frame,10,337216.0,5000,Urban,1,True,False,2.34,7.51,120,329673.0,1.475,73.59,71.3,0.88,68,4.27,Poor,5,Moderate,7,7543.0,False,Moderate,1105.62,0,0.0
TX,1997,2590.0,1,792.0,Frame,9,580235.0,2000,Suburban,12,False,False,22.34,1.93,4,509994.0,1.184,13.29,30.7,0.43,75,7.15,Poor,6,Low,29,70241.0,False,High,4527.38,0,0.0
CA,1956,2658.0,1,700.0,Frame,8,529484.0,2000,Rural,24,False,False,12.34,22.62,27,381660.0,0.509,43.11,62.65,2.82,32,0.46,Adequate,0,Low,70,147824.0,True,Elevated,3208.12,0,0.0
FL,2021,3014.0,0,733.0,Frame,6,659328.0,1000,Rural,13,False,True,4.9,0.12,120,505604.0,0.536,39.74,57.4,3.57,99,0.37,Adequate,0,Low,5,153724.0,False,Moderate,1252.49,0,0.0
LA,1990,2284.0,0,801.0,Frame,1,522245.0,1000,Suburban,14,True,False,23.66,0.48,120,504108.0,0.245,8.68,39.2,2.35,77,10.12,Adequate,0,Moderate,36,18137.0,False,Low,934.56,0,0.0
MA,1970,1433.0,0,700.0,Frame,6,320073.0,1000,Rural,26,True,False,10.17,0.45,120,238496.0,0.418,34.18,33.53,2.44,78,4.26,Adequate,2,Moderate,56,81577.0,True,Low,838.97,0,0.0
FL,1980,3142.0,0,650.0,Frame,6,671963.0,2000,Suburban,25,False,False,18.08,1.54,120,535990.0,1.123,41.92,52.79,8.17,70,2.82,Poor,0,Low,46,135973.0,False,High,3552.92,0,0.0
CA,2003,1987.0,0,700.0,Frame,7,592244.0,1000,Suburban,11,True,False,29.12,62.45,120,318124.0,1.346,28.23,38.7,5.97,86,45.0,Poor,0,Low,23,274120.0,True,High,3842.03,0,0.0
MA,2012,2277.0,0,700.0,Frame,1,582696.0,500,Rural,3,True,False,5.97,1.21,120,465848.0,0.332,13.03,35.49,2.82,80,0.85,Adequate,2,Low,14,116848.0,True,Moderate,1107.08,0,0.0
FL,1976,2351.0,0,648.0,Frame,6,442095.0,1000,Urban,23,False,True,8.01,3.11,120,399309.0,1.196,38.05,49.2,10.28,63,1.38,Adequate,0,Moderate,50,42786.0,False,Moderate,1081.49,0,0.0
TX,1962,2554.0,1,770.0,Frame,6,635990.0,500,Urban,23,False,False,22.64,6.75,27,519012.0,0.495,11.81,60.89,8.64,49,1.05,Adequate,5,Moderate,64,116978.0,False,High,5043.46,0,0.0
NY,2007,2875.0,0,676.0,Frame,8,766994.0,1000,Suburban,10,False,False,36.92,18.8,120,649497.0,1.374,14.27,22.0,10.68,91,15.86,Excellent,0,Low,19,117497.0,False,Elevated,3473.29,0,0.0
Other,2004,3334.0,0,626.0,Masonry,8,764135.0,1000,Urban,17,False,True,4.58,1.56,120,583482.0,0.824,33.06,77.0,9.28,81,1.07,Adequate,2,Low,22,180653.0,False,Elevated,2732.41,0,0.0
FL,1956,1506.0,0,693.0,Frame,4,448666.0,2000,Urban,25,False,False,6.4,16.45,120,349149.0,0.519,37.67,31.2,16.0,57,7.03,Adequate,0,Low,70,99517.0,False,Moderate,1674.24,0,0.0
Other,1964,2214.0,0,693.0,Masonry,9,374180.0,1000,Urban,29,False,True,30.26,0.01,120,434944.0,0.575,16.06,45.47,7.24,78,24.74,Poor,2,Low,62,0.0,False,Moderate,1957.01,0,0.0
TX,1991,2537.0,0,787.0,Masonry,3,723032.0,5000,Suburban,14,True,False,10.4,0.77,120,502896.0,0.386,13.18,47.12,0.16,77,26.96,Adequate,3,Low,35,220136.0,False,Moderate,1628.29,0,0.0
CA,1951,1818.0,0,700.0,Frame,3,358657.0,1000,Suburban,28,True,True,16.61,5.5,120,290197.0,0.248,27.93,31.7,2.55,32,0.07,Adequate,0,Low,75,68460.0,True,Moderate,1181.04,0,0.0
TX,1985,1803.0,0,599.0,Frame,9,280205.0,1000,Urban,3,True,False,24.84,20.9,120,283361.0,1.175,28.9,29.05,1.48,32,10.94,Poor,2,Low,41,0.0,False,Moderate,1682.98,0,0.0
MA,2009,2580.0,1,700.0,Fire Resistive,7,756475.0,500,Suburban,14,True,True,23.75,4.81,4,422079.0,0.548,27.36,41.87,7.52,94,3.07,Adequate,1,Moderate,17,334396.0,True,High,3892.65,1,88895.54
CO,1961,1816.0,0,590.0,Frame,10,513486.0,2000,Urban,29,False,True,12.67,33.67,120,427473.0,0.97,65.54,73.18,1.24,93,8.3,Excellent,4,Low,65,86013.0,False,High,4150.51,0,0.0
CO,1958,2212.0,0,741.0,Masonry,5,469183.0,1000,Suburban,21,True,False,1.36,62.93,120,401233.0,0.425,58.73,36.98,0.59,36,31.77,Adequate,3,Low,68,67950.0,False,Elevated,2315.78,0,0.0
Other,1967,2730.0,0,630.0,Frame,8,678549.0,2000,Suburban,22,False,False,19.63,1.7,120,465118.0,0.637,6.67,63.4,9.67,49,4.17,Poor,2,Moderate,59,213431.0,False,High,3597.41,0,0.0
NY,1968,1700.0,0,741.0,Frame,4,345423.0,1000,Urban,23,False,False,18.26,0.2,120,347261.0,0.372,21.84,27.8,0.65,64,6.88,Poor,3,Low,58,0.0,False,Moderate,1019.05,0,0.0
CA,2019,2244.0,0,700.0,Frame,1,424225.0,1000,Rural,5,False,False,27.13,4.89,120,328460.0,0.719,19.36,45.99,5.32,89,6.47,Adequate,2,Low,7,95765.0,True,Low,711.73,0,0.0
LA,1986,2412.0,1,706.0,Frame,3,643996.0,1000,Suburban,19,False,False,0.55,4.86,28,504548.0,0.18,13.66,63.33,1.02,85,3.49,Poor,1,Low,40,139448.0,False,High,3598.83,0,0.0
TX,1965,1946.0,1,601.0,Fire Resistive,4,491436.0,1000,Suburban,18,True,True,28.06,2.13,22,353511.0,0.61,20.84,37.4,5.02,47,1.83,Adequate,3,Low,61,137925.0,False,Elevated,2919.02,0,0.0
CO,1951,1221.0,0,754.0,Masonry,8,269566.0,2000,Rural,30,False,False,7.26,7.79,120,238288.0,0.88,23.86,54.62,15.48,68,0.44,Adequate,1,High,75,31278.0,False,Low,938.6,0,0.0
WA,2002,2224.0,0,597.0,Fire Resistive,2,468921.0,1000,Urban,4,False,True,21.02,19.51,120,370311.0,0.444,13.81,48.63,0.21,50,14.6,Excellent,0,Low,24,98610.0,False,Moderate,1207.91,0,0.0
NY,1956,2266.0,0,648.0,Masonry,8,344704.0,1000,Suburban,25,True,False,28.57,76.14,120,457795.0,0.364,48.42,45.5,0.1,38,29.43,Excellent,0,Low,70,0.0,False,High,4963.64,0,0.0
FL,1970,2156.0,0,776.0,Frame,5,596098.0,2000,Urban,9,True,False,25.16,8.19,120,341761.0,0.138,5.5,69.04,9.93,34,5.75,Adequate,1,Moderate,56,254337.0,False,Elevated,3046.51,0,0.0
CO,2021,2189.0,0,650.0,Frame,4,345316.0,1000,Rural,3,False,False,12.45,23.99,120,322076.0,0.164,25.16,72.96,6.57,90,14.91,Adequate,4,Low,5,23240.0,False,Low,595.23,0,0.0
CA,1975,1698.0,0,700.0,Frame,8,228042.0,5000,Urban,25,True,False,13.13,9.29,120,280534.0,1.146,38.44,77.57,1.29,71,22.28,Adequate,2,Low,51,0.0,True,Low,939.19,0,0.0
FL,2010,959.0,0,795.0,Frame,2,145375.0,1000,Rural,3,False,False,27.74,26.94,120,200601.0,1.008,45.95,61.77,13.67,67,2.08,Adequate,0,High,16,0.0,False,Low,376.76,0,0.0
NY,2008,1844.0,0,776.0,Frame,10,313504.0,5000,Urban,1,False,True,23.62,20.96,120,373066.0,0.676,19.01,37.76,1.78,46,6.45,Adequate,0,Low,18,0.0,False,Low,751.75,0,0.0
TX,1960,911.0,0,631.0,Frame,9,218568.0,1000,Suburban,28,True,False,5.04,11.31,120,264191.0,0.644,41.34,66.86,4.51,82,4.93,Excellent,3,Moderate,66,0.0,False,Moderate,1511.43,0,0.0
CA,2023,3456.0,0,700.0,Frame,9,650205.0,1000,Urban,1,True,True,1.19,65.53,120,530747.0,0.31,82.82,59.81,9.82,94,17.42,Poor,1,Moderate,3,119458.0,True,Elevated,2712.13,0,0.0
CO,2016,2077.0,1,723.0,Frame,6,423087.0,1000,Suburban,8,False,False,15.43,21.38,3,289569.0,0.47,16.1,57.35,0.92,89,21.05,Excellent,3,High,10,133518.0,False,Moderate,1957.46,0,0.0
FL,1957,1695.0,0,641.0,Frame,6,511718.0,5000,Rural,29,True,False,5.16,3.74,120,355179.0,1.16,28.82,47.54,3.84,85,25.03,Adequate,1,Moderate,69,156539.0,False,Elevated,2563.16,0,0.0
FL,1964,1809.0,1,552.0,Frame,9,391415.0,500,Urban,14,False,False,3.93,0.0,34,308514.0,0.395,38.52,27.54,0.58,36,3.89,Poor,0,Moderate,62,82901.0,False,Elevated,2781.91,0,0.0
Other,1964,1932.0,0,774.0,Masonry,4,478147.0,2000,Rural,9,False,False,14.77,0.3,120,425918.0,0.947,28.4,37.84,1.56,35,7.04,Poor,2,Moderate,62,52229.0,False,Low,538.63,0,0.0
CA,1974,2888.0,0,700.0,Fire Resistive,6,500473.0,1000,Urban,8,False,False,17.41,61.56,120,519666.0,0.71,54.13,63.78,9.91,32,2.92,Adequate,0,Low,52,0.0,True,Moderate,1615.95,0,0.0
TX,2002,2308.0,0,718.0,Frame,4,327082.0,1000,Suburban,7,False,True,25.6,9.42,120,381230.0,0.277,15.59,45.25,10.42,53,2.75,Poor,1,Low,24,0.0,False,Low,893.94,0,0.0
GA,1982,2826.0,0,686.0,Frame,10,817009.0,5000,Urban,12,False,True,8.82,32.52,120,570116.0,2.216,33.31,98.54,2.04,58,7.24,Adequate,1,High,44,246893.0,False,High,4536.19,0,0.0
CA,1962,2580.0,0,700.0,Masonry,7,550258.0,2000,Urban,26,True,False,7.81,6.35,120,504406.0,0.514,10.6,55.59,3.93,54,0.34,Excellent,2,High,64,45852.0,True,Moderate,1790.13,0,0.0
GA,2018,2685.0,0,850.0,Frame,5,627626.0,500,Urban,8,True,False,10.85,0.48,120,482047.0,0.275,15.91,69.19,1.97,96,20.32,Excellent,0,Moderate,8,145579.0,False,Moderate,1153.29,0,0.0
LA,1970,3587.0,0,635.0,Frame,1,1193386.0,1000,Suburban,26,True,False,26.46,9.23,120,775814.0,0.089,26.04,58.97,9.73,78,0.28,Poor,0,Moderate,56,417572.0,False,High,6404.49,0,0.0
CO,1985,2398.0,1,782.0,Frame,5,462637.0,1000,Suburban,14,True,False,8.13,10.42,6,397776.0,1.035,33.9,15.5,7.49,52,1.35,Excellent,5,Low,41,64861.0,False,Moderate,1312.13,0,0.0
TX,2000,2110.0,0,799.0,Fire Resistive,7,290656.0,1000,Urban,28,False,False,17.85,0.35,120,327987.0,0.792,20.16,7.39,3.11,97,1.89,Excellent,7,Low,26,0.0,False,Moderate,1249.14,0,0.0
FL,1981,1443.0,0,555.0,Frame,3,336682.0,500,Urban,18,False,False,14.68,1.41,120,185233.0,0.761,29.09,15.67,24.23,64,7.25,Poor,3,Low,45,151449.0,False,Moderate,1836.57,0,0.0
WA,2006,3346.0,0,616.0,Frame,10,779620.0,500,Suburban,17,False,False,22.15,64.18,120,633369.0,1.762,33.99,40.08,1.8,88,15.06,Poor,0,Low,20,146251.0,False,High,7710.68,0,0.0
CA,1961,2873.0,0,700.0,Frame,2,867227.0,500,Urban,7,True,False,10.57,26.52,120,527839.0,0.127,41.7,45.1,8.78,30,3.61,Adequate,0,Low,65,339388.0,True,High,5765.62,1,39739.55
MA,2000,2320.0,0,700.0,Frame,6,590623.0,2000,Urban,20,False,False,23.78,37.48,120,413961.0,0.75,37.38,61.13,3.43,95,24.5,Adequate,0,High,26,176662.0,True,High,4579.61,1,19222.7
WA,2000,1767.0,1,682.0,Masonry,1,396390.0,500,Suburban,8,False,False,23.03,14.29,30,382356.0,0.094,7.89,61.5,4.2,77,36.78,Adequate,2,High,26,14034.0,False,Moderate,1119.02,0,0.0
LA,2003,2142.0,0,839.0,Frame,3,508201.0,500,Urban,9,False,True,1.29,2.38,120,365473.0,0.312,11.2,58.46,36.0,77,5.25,Excellent,0,Low,23,142728.0,False,Moderate,1006.53,0,0.0
CA,1952,1804.0,0,700.0,Frame,8,339285.0,1000,Suburban,28,False,False,11.95,27.97,120,358646.0,3.228,23.74,62.09,6.92,40,0.55,Poor,0,High,74,0.0,True,Moderate,1936.02,0,0.0
MA,2002,2246.0,0,700.0,Fire Resistive,6,373136.0,2000,Suburban,9,False,False,8.69,1.6,120,366456.0,0.793,8.47,53.75,6.3,61,7.57,Adequate,0,Low,24,6680.0,True,Moderate,1077.66,0,0.0
LA,1983,2159.0,0,705.0,Frame,1,353840.0,500,Rural,9,False,True,12.17,5.82,120,278859.0,0.688,69.84,57.61,2.82,35,11.04,Adequate,0,Low,43,74981.0,False,Low,975.38,0,0.0
CA,2002,2998.0,0,700.0,Masonry,9,579390.0,1000,Rural,15,False,False,4.27,10.38,120,518891.0,0.28,22.21,63.24,5.64,74,8.45,Poor,0,High,24,60499.0,True,Moderate,1833.26,0,0.0
GA,2004,2791.0,0,831.0,Frame,4,703265.0,2000,Suburban,6,True,False,30.0,14.78,120,508232.0,0.272,14.77,69.6,12.42,66,0.46,Adequate,0,Low,22,195033.0,False,Moderate,1882.96,1,13082.19
CA,1964,2081.0,0,700.0,Frame,9,440543.0,1000,Rural,14,False,False,9.46,25.69,120,479622.0,0.988,42.97,48.52,4.1,41,13.48,Poor,1,Low,62,0.0,True,Moderate,1272.03,0,0.0
Other,1959,1619.0,0,669.0,Frame,3,408985.0,2000,Urban,29,False,False,16.82,0.04,120,232906.0,1.726,7.68,67.77,1.15,68,4.92,Poor,0,Low,67,176079.0,False,Elevated,2039.48,0,0.0
CA,1957,1087.0,0,700.0,Frame,4,213522.0,1000,Urban,17,False,False,4.92,29.95,120,247774.0,0.226,14.14,42.56,7.32,35,43.06,Poor,0,Low,69,0.0,True,Moderate,1103.51,0,0.0
TX,1969,2439.0,0,738.0,Fire Resistive,7,606454.0,1000,Suburban,25,False,False,32.26,6.78,120,452089.0,0.893,28.74,64.43,1.28,67,10.68,Poor,2,Low,57,154365.0,False,Elevated,3111.23,0,0.0
LA,1980,1349.0,0,591.0,Masonry,6,406133.0,500,Urban,12,True,True,19.45,48.97,120,266812.0,0.517,33.42,40.97,0.63,66,14.36,Poor,1,High,46,139321.0,False,Moderate,1597.49,0,0.0
CA,1995,2334.0,0,700.0,Frame,4,462835.0,1000,Rural,4,False,False,20.28,52.84,120,340695.0,0.634,34.33,46.62,4.71,37,8.55,Excellent,0,Low,31,122140.0,True,Elevated,2191.26,0,0.0
TX,1988,2679.0,0,846.0,Frame,8,489977.0,2000,Urban,19,False,False,6.64,3.61,120,448861.0,1.137,25.45,59.86,8.25,64,8.94,Adequate,5,Low,38,41116.0,False,Moderate,1954.23,0,0.0
CA,1956,2595.0,0,700.0,Frame,10,520344.0,500,Suburban,26,False,False,9.35,76.45,120,413498.0,0.495,50.93,68.32,5.04,36,6.09,Excellent,1,Low,70,106846.0,True,High,7388.29,2,46640.73
WA,1967,2679.0,0,655.0,Frame,2,575063.0,2000,Urban,9,False,True,7.8,7.2,120,538947.0,0.318,32.08,45.21,0.06,33,1.15,Adequate,0,Low,59,36116.0,False,Moderate,1591.45,0,0.0
CA,1994,2212.0,1,700.0,Frame,2,426462.0,1000,Suburban,8,False,True,26.87,28.02,25,463078.0,0.436,47.63,57.13,8.5,61,0.54,Adequate,3,Low,32,0.0,True,Moderate,1180.19,0,0.0
OK,1985,2739.0,0,779.0,Frame,6,495698.0,1000,Rural,14,False,False,0.0,13.61,120,413880.0,2.138,37.11,70.22,1.69,43,3.94,Adequate,4,Low,41,81818.0,False,Elevated,2248.19,0,0.0
CO,1988,3143.0,2,563.0,Masonry,4,801377.0,1000,Suburban,14,False,False,12.84,35.62,35,531015.0,0.448,12.83,77.91,3.28,54,43.28,Adequate,1,High,38,270362.0,False,High,5186.2,0,0.0
CO,2013,1994.0,0,558.0,Frame,10,310615.0,500,Suburban,8,False,False,20.82,14.01,120,261953.0,4.903,21.26,35.14,1.14,77,11.81,Excellent,1,Moderate,13,48662.0,False,Moderate,1766.39,0,0.0
FL,1999,2038.0,0,700.0,Frame,3,395284.0,1000,Suburban,16,False,True,15.46,31.82,120,331449.0,0.23,7.99,54.26,8.01,81,17.84,Adequate,0,Moderate,27,63835.0,False,Low,749.19,0,0.0
FL,1998,2558.0,0,706.0,Frame,8,572212.0,1000,Urban,17,True,True,15.65,27.83,120,406399.0,0.347,40.42,38.22,21.13,78,11.59,Excellent,1,Low,28,165813.0,False,Elevated,2560.65,0,0.0
Other,2015,2572.0,1,647.0,Frame,6,399550.0,1000,Urban,3,False,False,0.0,8.9,12,403447.0,0.251,6.53,42.15,0.77,57,15.49,Excellent,1,Moderate,11,0.0,False,Moderate,1699.81,0,0.0
